Central_stations
Киевская
Парк Культуры
Октябрьская
Добрынинская
Павелецкая
Таганская
Курская
Комсомольская
Проспект Мира
Достоевская
Новослободская
Белорусская
Краснопресненская
Смоленская
Арбатская
Александровский сад
Китай-город
Кузнецкий мост
Пушкинская
Маяковская
Тверская
Театральная
Новокузнецкая
Марксистская
Третьяковская
Полянка
Боровицкая
Цветной бульвар
Менделеевская
Трубная
Сретенский бульвар
Тургеневская
Сухаревская
Площадь трёх вокзалов
Красные ворота
Чистые пруды
Лубянка
Охотный ряд
Александровский сад
Библиотека им. Ленина
Кропоткинская
Смоленская
Площадь Революции
Чкаловская
Чеховская
